OID,time,cunlan,fabing,death,type,introduce,ENAME,AREA,PERIMETER,NAME,GB1999,POST_,疫情时,疫情类,发生次,牛Otime,类型,Long,Lat
90,20181230,8016,24,7,养殖户, ,jinchengshi,2289012000,208002.05,晋城市,140501,480000,1905/6/19,非洲猪瘟疫情,1,1997,养殖户,112.8551,35.5016
65,20181225,90,11,11,养殖户,"12月25日13时，农业农村部接到中国动物疫病预防控制中心报告，经广东省动物疫病预防控制中心确诊, 广东省惠州市博罗县一养殖户发生非洲猪瘟疫情。截至目前，该养",boluoxian,3246475500,297641.47,博罗县,441322,516100,2018/12/25,非洲猪瘟疫情,1,20181225,养殖户,114.28973,23.17315
60,20181224,5776,35,11,养殖场,"12月24日8时，农业农村部接到中国动物疫病预防控制中心报告，经福建省动物疫病预防控制中心确诊, 福建省南平市延平区某养殖公司发生非洲猪瘟疫情。截至目前，该?",nanpingshi,2610541800,284057.59,南平市,350701,353000,2018/12/24,非洲猪瘟疫情,1,20181224,养殖场,118.12043,27.33175
67,20181222,6027,30,9,养殖场,7月4日，广东省广州市天河区天河牲畜交易市场的生猪出现疑似口蹄疫症状，发病猪32头。7月4日，广东省动物疫病预防控制中心诊断为口蹄疫病毒核酸阳性。7月16日，经国家口蹄疫参考实验室,guangzhoushi,1477248800,179862.02,广州市,440101,510000,2018/12/22,非洲猪瘟疫情,1,20181222,养殖场,113.27324,23.15792
62,20181221,156,42,42,养殖户,"12月21日8时，农业农村部接到中国动物疫病预防控制中心报告，经贵州省动物疫病预防控制中心确诊, 贵州省黔南州龙里县某养殖户发生非洲猪瘟疫情。截至目前，该养?",longlixian,1449072500,210953.63,龙里县,522730,551200,2018/12/21,非洲猪瘟疫情,1,20181221,养殖户,106.97981,26.45325
63,20181220,11950,27,27,养殖场,"12月20日8时，农业农村部接到中国动物疫病预防控制中心报告，经福建省动物疫病预防控制中心确诊, 福建省三明市尤溪县某养猪场发生非洲猪瘟疫情。截至目前，该养?",youxixian,3435244300,283753.22,尤溪县,350426,365100,2018/12/20,非洲猪瘟疫情,1,20181220,养殖场,118.19049,26.17004
68,20181219,50,11,11,屠宰场,12月19日15时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，广东省珠海市香洲区一屠宰场发生,zhuhaishi,388211420,95351.65,珠海市,440401,519000,2018/12/19,非洲猪瘟疫情,1,20181219,屠宰场,113.29673,22.20907
42,20181218,23,8,3,养殖户,12月18日15时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，重庆市璧山区一养殖户发生非洲猪,bishanxian,920296830,160659.61,璧山县,500227,402760,2018/12/18,非洲猪瘟疫情,1,20181218,养殖户,106.22742,29.59202
2,20181216,84,24,24,养殖户,12月16日14时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，四川省绵阳市盐亭县一养殖户排查,jixishi,1992110300,187115.64,鸡西市,230301,158100,2018/12/16,非洲猪瘟疫情,1,20181216,养殖户,131.01136,45.33693
32,20181216,210,35,26,养殖户,12月16日14时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，四川省绵阳市盐亭县一养殖户排查,yantingxian,1625950200,183960.83,盐亭县,510723,621600,2018/12/16,非洲猪瘟疫情,1,20181216,养殖户,105.38996,31.20819
24,20181212,69,14,14,养殖户,12月12日11时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，四川省巴中市巴州区、青海省西宁,xiningshi,482963840,94705.3,西宁市,630101,810000,2018/12/12,非洲猪瘟疫情,1,20181212,养殖户,101.76628,36.6502
29,20181212,117,51,19,养殖场,12月12日11时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，四川省巴中市巴州区，截至目前，,bazhongshi,2601509400,261272.28,巴中县,513701,635500,2018/12/12,非洲猪瘟疫情,1,20181212,养殖场,106.76897,31.85131
22,20181209,33,19,19,养殖户,"　12月9日18时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊,陕西省榆林市神木市一养殖户排查",shenmuxian,7793670700,426204,神木县,612722,719300,2018/12/9,非洲猪瘟疫情,1,20181209,养殖户,110.49896,38.84239
61,20181209,26,5,5,养殖户,"12月9日18时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊,贵州省贵阳市白云区一养殖户排查出",guiyangshi,2335605000,269601.13,贵阳市,520101,550000,2018/12/9,非洲猪瘟疫情,1,20181209,养殖户,106.62304,26.67856
25,20181206,91,45,35,养殖户,"12月6日10时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 山西省临汾市尧都区一养殖户排查?",linfenshi,1285011200,176639.59,临汾市,142601,410000,2018/12/6,非洲猪瘟疫情,1,20181206,养殖户,111.57776,36.08329
