OID,AREA,PERIMETER,NAME,ENAME,GB1999,POST_,疫情时,疫情类,发生次,疫情简,time,牛Otime,存栏,发病,死亡,类型
0,937718460,147913.03,佳木斯市,jiamusishi,230801,154000,2018-09-06,非洲猪瘟疫情,1,9月5日，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，黑龙江省佳木斯市郊区长青乡某养殖户发生非洲猪瘟疫情，该养,20180906,20180906,203,26,10,养殖户
1,25616925000,1030659.3,科尔沁右翼,keerqinyouyiqianqi,152221,294000,2018-09-17,非洲猪瘟疫情,1,9月17日，内蒙古自治区畜牧兽医部门在开展非洲猪瘟疫情排查时，发现内蒙古自治区兴安盟科尔沁右翼中旗一养殖户生猪不明原因死亡。9月20日，农业农村部接到中国动物疫病预防控制中心报,20180917,20180917,138,23,22,养殖户
2,1992110300,187115.64,鸡西市,jixishi,230301,158100,2018-12-16,非洲猪瘟疫情,1,12月16日14时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，四川省绵阳市盐亭县一养殖户排查,20181216,20181216,84,24,24,养殖户
3,1487490800,187976.08,哈尔滨市,haerbinshi,230101,150000,2018-11-19,非洲猪瘟疫情,2,11月19日14时，道外区两个养殖户排查出非洲猪瘟疫情。截至目前，两个养殖户共存栏生猪900头，发病269头，死亡269头。12月2日20时，农业农村部接到中国动物疫病预,20181119,20181119,900,269,269,养殖户
4,27565472000,818833.13,阿巴嘎旗,abagaqi,152522,261000,2018-09-12,非洲猪瘟疫情,1,9月12日，内蒙古自治区畜牧兽医部门在开展非洲猪瘟疫情排查时，发现锡林郭勒盟阿巴嘎旗一养殖户生猪不明原因死亡9月14日，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫,20180912,20180912,16,16,16,养殖户
5,6190334500,394397.03,长岭县,changlingxian,220722,131500,2018-09-28,非洲猪瘟疫情,1,9月28日，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊吉林省松原市长岭县一养殖户发生非洲猪瘟疫情。该养殖户存栏,20180928,20180928,44,8,3,养殖户
6,15214307000,650581.88,锡林浩特市,xilinhaoteshi,152502,260000,2018-09-15,非洲猪瘟疫情,1,9月15日上午，内蒙古自治区畜牧兽医部门在开展非洲猪瘟疫情排查时，发现锡林郭勒盟正蓝旗一养殖户生猪不明原因死亡。9月17日，农业农村部接到中国动物疫病预防控制中心报告，经中国动,20180915,20180915,159,14,8,养殖场
7,4420918800,373052.84,公主岭市,gongzhulingshi,220381,136100,2018-09-17,非洲猪瘟疫情,1,9月17日，吉林省公主岭市南崴子镇一养殖场发现生猪出现异常并于9月19日出现不明原因死亡。9月20日，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家,20180917,20180917,484,56,56,养殖场
8,4164866600,416894.78,龙井市,longjingshi,222405,133400,2018-11-08,非洲猪瘟疫情,1,11月8日11时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，吉林省延边朝鲜族自治州龙井市一?,20181108,20181108,930,144,144,养殖场
9,3387430400,334555.16,开原市,kaiyuanshi,211282,112300,2018-10-15,非洲猪瘟疫情,1,10月15日20时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心确诊，辽宁省铁岭市开原市庆云堡镇。铁岭市开原市庆云堡镇一养殖专业,20181015,20181015,6640,50,14,养殖场
10,5621452300,440665.25,浑江市,linjiangshi,220681,134300,2018-11-16,野猪非洲猪瘟疫情,1,11月16日11时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，吉林省白山市浑江区一头病死野猪,20181116,20181116,1,1,1,养殖场
11,1422625700,180960.09,台安县桑林,taianxian,210321,114100,2018-10-14,非洲猪瘟疫情,3,10月8日鞍山市台安县一养殖户，该养殖户存栏生猪460头、发病160头、死亡160头。10月12日12时，阳性样品来自鞍山市台安县桑林镇一养殖户，该养殖户存栏生猪180头、发病14头、死亡14头。,20181014,20181014,180,14,14,养殖户
12,1099607200,205061.39,大洼县,dawaxian,211121,124200,2018-10-16,非洲猪瘟疫情,1,10月15日20时，盘锦市大洼区清水镇和王家街道排查出3起非洲猪瘟疫情。盘锦市大洼区清水镇一养殖场存栏生猪4323头，发病1030头，死亡1030头；盘锦市大洼区王家街道一养殖场存栏生猪3223头，发,20181016,20181016,161,43,43,养殖户
13,1588730800,255265.27,营口市,yingkoushi,210882,115000,2018-10-07,非洲猪瘟疫情,11,10月7日19时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）检测，辽宁省营口市排查送检样品，检出非洲猪瘟病毒，确诊为生,20181007,20181007,3736,334,195,养殖场
14,1992558800,195031.73,呼和浩特市,huhehaoteshi,150101,100000,2018-09-22,非洲猪瘟疫情,1,9月22日，内蒙古自治区呼和浩特市一屠宰场驻场官方兽医在巡检时发现待宰生猪发病死亡。23日下午，内蒙古自治区动物疫病预防控制中心诊断为疑似非洲猪瘟疫情。24日，农业农村部接到中国,20180922,20180922,388,4,2,屠宰场
15,2283141900,242131.25,包头市,baotoushi,150201,140000,2018-11-23,非洲猪瘟疫情,1,"11月23日11时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 内蒙古自治区包头市昆都仑区一养",20181123,20181123,88,69,53,养殖场
16,1060150200,136071.06,顺义县,shunyixian,110222,101300,2018-12-05,非洲猪瘟疫情,1,"12月5日16时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊,北京市顺义区一种猪场排查出非洲猪",20181205,20181205,2461,53,26,种猪场
17,4846838300,1,北京市房山,beijingshi,110100,100000,2018-11-23,非洲猪瘟疫情,1,"11月23日9时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 北京市房山区青龙湖镇、琉璃河镇?",20181123,20181123,1325,0,49,养殖场
18,1250708000,173599.7,左云县,zuoyunxian,140226,371000,2018-10-17,非洲猪瘟疫情,1,10月17日12时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，山西省大同市左云县一养殖户排查,20181017,20181017,15,7,40,养殖户
19,900499580,150565.16,通州区,tongxian,110223,101100,2018-12-02,非洲猪瘟疫情,1,"12月2日20时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊,北京市通州区一规模养殖场排查出非",20181202,20181202,9835,85,17,养殖场
20,2402699800,424551.91,大连市,dalianshi,210201,116000,2018-10-11,非洲猪瘟疫情,1,10月11日10时，农业农村部接到中国动物疫病预防控制中心报告，辽宁省动物疫病预防控制中心送检样品经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊为非洲猪瘟。阳性样,20181011,20181011,1353,20,11,养殖场
21,3819039500,358430.28,天津市,tianjinshi,120100,300000,2018-10-12,非洲猪瘟疫情,1,10月12日17时，农业农村部接到中国动物疫病预防控制中心报告，天津市动物疫病预防控制中心送检样品经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊为非洲猪瘟。阳性样,20181012,20181012,639,292,189,养殖户
22,7793670700,426204,神木县,shenmuxian,612722,719300,2018-12-09,非洲猪瘟疫情,1,"　12月9日18时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊,陕西省榆林市神木市一养殖户排查",20181209,20181209,33,19,19,养殖户
23,2094834300,269782.38,阳曲县,yangquxian,140122,301000,2018-10-30,非洲猪瘟疫情,2,2018年10月30日，山西省太原市阳曲县养殖户存栏生猪210头，发病75头，死亡47头；11月3日12时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流,20181030,20181103,257,100,54,养殖户
24,482963840,94705.3,西宁市,xiningshi,630101,810000,2018-12-12,非洲猪瘟疫情,1,12月12日11时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，四川省巴中市巴州区、青海省西宁,20181212,20181212,69,14,14,养殖户
25,1285011200,176639.59,临汾市,linfenshi,142601,410000,2018-12-06,非洲猪瘟疫情,1,"12月6日10时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 山西省临汾市尧都区一养殖户排查?",20181206,20181206,91,45,35,养殖户
26,488825060,87356.57,获嘉县,huojiaxian,410724,453800,2018-09-12,非洲猪瘟疫情,1,9月12日，河南省畜牧兽医部门在开展非洲猪瘟疫情排查时，发现新乡市获嘉县一养殖场生猪不明原因死亡。9月14日，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病,20180912,20180912,0,148,64,养殖场
27,786588290,183011.95,连云港市,lianyungangshi,320701,222000,2018-08-15,非洲猪瘟疫情,1,8月15日起，江苏省连云港市海州区某养殖场的生猪出现不明原因死亡，截至目前，发病615头，死亡88头。8月19日，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，该起疫情,20180815,20180815,615,615,88,养殖场
28,2011301100,235316.25,凤阳县,fengyangxian,341126,233100,2018-09-06,非洲猪瘟疫情,1,9月6日，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，安徽省滁州市凤阳县一养殖场发生非洲猪瘟疫情，该养殖场存栏,20180906,20180906,886,62,22,养殖场
29,2601509400,261272.28,巴中县,bazhongshi,513701,635500,2018-12-12,非洲猪瘟疫情,1,12月12日11时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，四川省巴中市巴州区，截至目前，,20181212,20181212,117,51,19,养殖场
30,1699919700,184485.56,宜兴市,yixingshi,320282,214200,2018-09-03,非洲猪瘟疫情,1,9月3日，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，江苏省无锡市宜兴市某养殖户发生非洲猪瘟疫情，该养殖户存栏,20180903,20180903,97,12,9,养殖户
31,2531321300,258419.89,宣州市,xuanzhoushi,342501,242000,2018-09-06,非洲猪瘟疫情,1,9月2日，安徽省宣城市宣州区古泉镇、五星乡发生非洲猪瘟疫情。古泉镇某养殖场存栏生猪285头，死亡40头。五星乡某养殖场存栏生猪440头，死亡94头。9月3日，安徽省宣城市宣州区金坝办事处某,20180906,20180906,52,15,15,养殖户
32,1625950200,183960.83,盐亭县,yantingxian,510723,621600,2018-12-16,非洲猪瘟疫情,1,12月16日14时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，四川省绵阳市盐亭县一养殖户排查,20181216,20181216,210,35,26,养殖户
33,1343082600,209600.75,南陵县,nanlingxian,340223,242400,2018-09-06,非洲猪瘟疫情,1,8月29日，安徽省畜牧兽医部门在开展非洲猪瘟疫情排查时，发现芜湖市南陵县某养殖场生猪不明原因死亡。8月30日，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊为非洲,20180906,20180906,30,13,1,养殖户
34,2018853100,258822.2,罗田县,luotianxian,421123,436600,2018-11-07,非洲猪瘟疫情,1,5月19日，湖北省罗田县某养殖户饲养的牛出现疑似口蹄疫症状，发病牛13头，死亡牛3头。11月7日18时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外,20181107,20180519,821,22,4,养殖场
35,125372260,49536.04,铜陵市,tonglingshi,340701,244000,2018-09-10,非洲猪瘟疫情,1,9月10日，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，安徽省铜陵市义安区一养殖场发生非洲猪瘟疫情，该养殖场存,20180910,20180910,219,63,23,养殖场
