id,start ,location,cunlan,fabing,death,overtime,long,lat
1,20180803,辽宁省沈阳市沈北新区,383,47,47,20180929,123.583197,41.912487
2,20180816,河南省郑州市经济开发区,260,30,30,20181001,113.743171,34.721838
3,20180819,江苏省连云港市海州区,,615,88,20181004,119.19371,34.606756
4,20180823,浙江省温州市乐清市,,430,340,20181010,120.967147,28.116083
5,20180830,安徽省芜湖市南陵县,459,185,80,20181018,118.33436,30.914923
6,20180902,安徽省宣城市宣州区古泉镇,285,,40,20181017,118.653084,31.029986
7,20180902,安徽省宣城市宣州区五星乡,440,,94,20181017,118.78591,31.006845
8,20180903,安徽省宣城市宣州区金坝办事处,308,152,83,20181017,118.668526,30.868876
9,20180903,江苏省无锡市宜兴市,97,12,9,20181017,119.823308,31.340637
10,20180905,黑龙江省佳木斯市郊区长青乡,87,39,12,20181112,130.303305,46.809019
11,20180906,安徽省滁州市凤阳县,886,62,22,20181020,117.531623,32.874735
12,20180906,黑龙江省佳木斯市向阳区,203,26,10,20181112,130.365346,46.80779
13,20180906,安徽省芜湖市南陵县许镇镇,30,13,4,20181112,118.399381,31.047345
14,20180906,安徽省宣城市宣州区天湖街道办事处,52,15,15,20181020,118.591931,30.919701
15,20180910,安徽省铜陵市义安区,219,63,23,20181024,117.812079,30.945429
16,20180914,内蒙古自治区锡林郭勒盟阿巴嘎旗,,16,16,20181219,114.950248,44.022995
17,20180814,河南省新乡市获嘉县,,148,64,20181031,113.657433,35.259808
18,20180917,内蒙古自治区锡林郭勒盟正蓝旗,159,14,8,20181219,115.99247,42.241638
19,20180921,吉林省公主岭市南崴子镇,484,56,56,20181101,124.743685,43.462169
20,20180921,内蒙古自治区科尔沁右翼中旗,138,23,22,20181219,121.47653,45.060837
21,20180924,内蒙古自治区呼和浩特市,388,4,2,20190130,111.74918,40.842585
22,20180928,吉林省松原市长岭县,44,8,3,20181109,123.967484,44.275895
23,20180930, 辽宁省营口市大石桥市旗口镇滚子泡村（含腰屯村）,239,78,78,20181122,122.416165,40.823646
24,20180930,辽宁省营口市大石桥市高坎镇大高坎村,130,22,22,20181122,122.37675,40.779669
25,20180930,辽宁省营口市老边区路南镇崔家村,9,2,2,20181122,122.30766,40.690142
26,20181008,辽宁省营口市大石桥市旗口镇王围村（含新兴村）,1119,650,20,20181122,122.426829,40.853512
27,20181008,辽宁省营口市大石桥市高坎镇革家村（含宿东村）,1116,127,27,20181122,122.493095,40.800201
28,20181008,辽宁省营口市老边区路南镇新立村（含北于扬村）,1123,142,46,20181122,122.402803,40.664332
29,20181009,辽宁省鞍山市台安县,460,160,160,20181127,122.436196,41.412768
30,20181011,辽宁省大连市普兰店区,1353,20,11,20181125,122.26177,39.741886
31,20181012,辽宁省鞍山市台安县新台镇,120,88,72,20181127,122.3587,41.327987
32,20181012, 天津市蓟州区侯家营镇,639,292,198,20181205,117.255619,39.855988
33,20181014,辽宁省鞍山市台安县桑林镇魏家村,180,14,14,20181127,122.274519,41.493566
34,20181015,辽宁省锦州市北镇市,19938,221,221,20181204,121.795962,41.598764
35,20181015,辽宁省北镇市盘锦市大洼区王家街道曙光村,1571,109,109,20181203,121.795962,41.598764
36,20181015,辽宁省盘锦市大洼区王家街道王家村,270,129,129,20181203,122.066733,40.949539
37,20181016,辽宁省铁岭市开原市庆云堡镇,6640,50,14,20181129,124.038268,42.546307
38,20181016,辽宁省盘锦市大洼区清水镇,4323,1030,1030,20181203,121.981502,41.042119
39,20181016,辽宁省盘锦市大洼区王家街道西海村,3223,31,20,20181203,122.023268,40.947591
40,20181017,辽宁省盘锦市大洼区西安镇韩家村,161,43,43,20181203,122.233249,40.951208
41,20181017,山西省大同市左云县,15,7,4,20181128,112.703008,40.013442
42,20181020,云南省昭通市镇雄县牛场镇,804,298,298,20181227,104.571123,27.508911
43,20181021,云南省昭通市母享镇养殖专业合作社,353,247,247,20181227,105.190509,27.562278
44,20181022,浙江省台州市三门县,2280,56,56,20181204,121.395777,29.104873
45,20181223,湖南省益阳市桃江县,546,44,17,20181207,112.155822,28.518085
46,20181023,湖南省常德市桃源县,268,208,31,20181217,111.488925,28.902503
