name,start,cunlan,fabing,death,province,city,overtime,Long,Lat
辽宁省沈阳市沈北新区,20180803,383,47,47,辽宁省,沈阳市,20180929,123.583197,41.912487
河南省郑州市经济开发区,20180816,260,30,30,河南省,郑州市,20181001,113.743171,34.721838
江苏省连云港市海州区,20180819,,615,88,江苏省,连云港市,20181004,119.19371,34.606756
浙江省温州市乐清市,20180823,,430,340,浙江省,温州市,20181010,120.967147,28.116083
安徽省芜湖市南陵县,20180830,459,185,80,安徽省,芜湖市,20181018,118.33436,30.914923
安徽省宣城市宣州区古泉镇,20180902,285,,40,安徽省,宣城市,20181017,118.653084,31.029986
安徽省宣城市宣州区五星乡,20180902,440,,94,安徽省,宣城市,20181017,118.78591,31.006845
安徽省宣城市宣州区金坝办事处,20180903,308,152,83,安徽省,宣城市,20181017,118.668526,30.868876
江苏省无锡市宜兴市,20180903,97,12,9,江苏省,无锡市,20181017,119.823308,31.340637
黑龙江省佳木斯市郊区长青乡,20180905,87,39,12,黑龙江省,佳木斯市,20181112,130.303305,46.809019
安徽省滁州市凤阳县,20180906,886,62,22,安徽省,滁州市,20181020,117.531623,32.874735
黑龙江省佳木斯市向阳区,20180906,203,26,10,黑龙江省,佳木斯市,20181112,130.365346,46.80779
安徽省芜湖市南陵县许镇镇,20180906,30,13,4,安徽省,芜湖市,20181112,118.399381,31.047345
安徽省宣城市宣州区天湖街道办事处,20180906,52,15,15,安徽省,宣城市,20181020,118.591931,30.919701
安徽省铜陵市义安区,20180910,219,63,23,安徽省,铜陵市,20181024,117.812079,30.945429
内蒙古自治区锡林郭勒盟阿巴嘎旗,20180914,,16,16,内蒙古自治区,锡林郭勒盟,20181219,114.950248,44.022995
河南省新乡市获嘉县,20180814,,148,64,河南省,新乡市,20181031,113.657433,35.259808
内蒙古自治区锡林郭勒盟正蓝旗,20180917,159,14,8,内蒙古自治区,锡林郭勒盟,20181219,115.99247,42.241638
吉林省公主岭市南崴子镇,20180921,484,56,56,吉林省,四平市,20181101,124.743685,43.462169
内蒙古自治区科尔沁右翼中旗,20180921,138,23,22,内蒙古自治区,兴安盟,20181219,121.47653,45.060837
内蒙古自治区呼和浩特市,20180924,388,4,2,内蒙古自治区,呼和浩特市,20190130,111.74918,40.842585
吉林省松原市长岭县,20180928,44,8,3,吉林省,松原市,20181109,123.967484,44.275895
 辽宁省营口市大石桥市旗口镇滚子泡村（含腰屯村）,20180930,239,78,78,辽宁省,营口市,20181122,122.416165,40.823646
辽宁省营口市大石桥市高坎镇大高坎村,20180930,130,22,22,辽宁省,营口市,20181122,122.37675,40.779669
辽宁省营口市老边区路南镇崔家村,20180930,9,2,2,辽宁省,营口市,20181122,122.30766,40.690142
辽宁省营口市大石桥市旗口镇王围村（含新兴村）,20181008,1119,650,20,辽宁省,营口市,20181122,122.426829,40.853512
辽宁省营口市大石桥市高坎镇革家村（含宿东村）,20181008,1116,127,27,辽宁省,营口市,20181122,122.493095,40.800201
辽宁省营口市老边区路南镇新立村（含北于扬村）,20181008,1123,142,46,辽宁省,营口市,20181122,122.402803,40.664332
辽宁省鞍山市台安县,20181009,460,160,160,辽宁省,鞍山市,20181127,122.436196,41.412768
辽宁省大连市普兰店区,20181011,1353,20,11,辽宁省,大连市,20181125,122.26177,39.741886
辽宁省鞍山市台安县新台镇,20181012,120,88,72,辽宁省,鞍山市,20181127,122.3587,41.327987
 天津市蓟州区侯家营镇,20181012,639,292,198,天津市,天津市,20181205,117.255619,39.855988
辽宁省鞍山市台安县桑林镇魏家村,20181014,180,14,14,辽宁省,鞍山市,20181127,122.274519,41.493566
辽宁省锦州市北镇市,20181015,19938,221,221,辽宁省,锦州市,20181204,121.795962,41.598764
辽宁省北镇市盘锦市大洼区王家街道曙光村,20181015,1571,109,109,辽宁省,锦州市,20181203,121.795962,41.598764
辽宁省盘锦市大洼区王家街道王家村,20181015,270,129,129,辽宁省,盘锦市,20181203,122.066733,40.949539
辽宁省铁岭市开原市庆云堡镇,20181016,6640,50,14,辽宁省,铁岭市,20181129,124.038268,42.546307
辽宁省盘锦市大洼区清水镇,20181016,4323,1030,1030,辽宁省,盘锦市,20181203,121.981502,41.042119
辽宁省盘锦市大洼区王家街道西海村,20181016,3223,31,20,辽宁省,盘锦市,20181203,122.023268,40.947591
辽宁省盘锦市大洼区西安镇韩家村,20181017,161,43,43,辽宁省,盘锦市,20181203,122.233249,40.951208
山西省大同市左云县,20181017,15,7,4,山西省,大同市,20181128,112.703008,40.013442
云南省昭通市镇雄县牛场镇,20181020,804,298,298,云南省,昭通市,20181227,104.571123,27.508911
云南省昭通市母享镇养殖专业合作社,20181021,353,247,247,云南省,昭通市,20181227,105.190509,27.562278
浙江省台州市三门县,20181022,2280,56,56,浙江省,台州市,20181204,121.395777,29.104873
湖南省益阳市桃江县,20181223,546,44,17,湖南省,益阳市,20181207,112.155822,28.518085
湖南省常德市桃源县,20181023,268,208,31,湖南省,常德市,20181217,111.488925,28.902503
贵州省毕节市赫章县,20181025,10,8,8,贵州省,毕节市,20181213,104.727418,27.123079
贵州省毕节市七星关区,20181026,49,25,25,贵州省,毕节市,20181223,105.305138,27.298494
湖南省常德市桃源县,20181028,7684,106,99,湖南省,常德市,20181217,111.488925,28.902503
山西省太原市阳曲县,20181030,210,75,47,山西省,太原市,20181217,112.672953,38.058489
湖南省怀化市沅陵县,20181030,144,25,22,湖南省,怀化市,20181217,110.393844,28.452686
云南省普洱市思茅区,20181030,36,5,1,云南省,普洱市,20181211,100.977165,22.78691
山西省太原市阳曲县西凌井乡,20181103,47,25,7,山西省,太原市,20181217,112.422273,38.13597
重庆市丰都县兴义镇,20181104,309,3,3,重庆市,重庆市,20181221,107.818939,29.948571
湖南省湘西土家族苗族自治州保靖县,20181105,119,11,4,湖南省,湘西土家族苗族自治州,20181220,109.660577,28.699774
湖北省罗田县,20181107,821,22,4,湖北省,黄冈市,20181226,115.399492,30.7831
 湖南省娄底市涟源市,20181108,9,4,1,湖南省,娄底市,20181224,111.664316,27.692542
江西省上饶市万年县,20181108,154,49,49,江西省,上饶市,20181224,117.058445,28.694582
吉林省延边朝鲜族自治州龙井市,20181108,930,144,144,吉林省,延边朝鲜族自治州,20181220,129.427066,42.766311
福建省莆田市城厢区,20181108,4521,85,85,福建省,莆田市,20181222,118.993885,25.419319
安徽省青阳县,20181110,8339,96,47,安徽省,池州市,20181224,117.847362,30.63923
湖北省武穴市,20181113,147,7,6,湖北省,黄冈市,20181229,115.561217,29.844107
湖北省黄冈市浠水县,20181115,636,24,13,湖北省,黄冈市,20190103,115.265535,30.451867
四川省宜宾市高县,20181116,40,16,10,四川省,宜宾市,20181230,104.518187,28.435036
吉林省白山市浑江区（一头野猪）,20181116,,1,1,吉林省,白山市,,126.416094,41.945409
云南省昭通市威信县,20181116,1,1,1,云南省,昭通市,20181228,105.049027,27.846901
江西省上饶市鄱阳县,20181117,150,10,10,江西省,上饶市,20181229,116.699746,29.011699
